id,title,budget,revenue,runtime,genres,release_date
862.0,Toy Story,30000000.0,373554033.0,81.0,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",1995-10-30
8844.0,Jumanji,65000000.0,262797249.0,104.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",1995-12-15
31357.0,Waiting to Exhale,16000000.0,81452156.0,127.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995-12-22
949.0,Heat,60000000.0,187436818.0,170.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",1995-12-15
9091.0,Sudden Death,35000000.0,64350171.0,106.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",1995-12-22
710.0,GoldenEye,58000000.0,352194034.0,130.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",1995-11-16
9087.0,The American President,62000000.0,107879496.0,106.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995-11-17
10858.0,Nixon,44000000.0,13681765.0,192.0,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",1995-12-22
1408.0,Cutthroat Island,98000000.0,10017322.0,119.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",1995-12-22
524.0,Casino,52000000.0,116112375.0,178.0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",1995-11-22
4584.0,Sense and Sensibility,16500000.0,135000000.0,136.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995-12-13
5.0,Four Rooms,4000000.0,4300000.0,98.0,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",1995-12-09
9273.0,Ace Ventura: When Nature Calls,30000000.0,212385533.0,90.0,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",1995-11-10
11517.0,Money Train,60000000.0,35431113.0,103.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",1995-11-21
8012.0,Get Shorty,30250000.0,115101622.0,105.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",1995-10-20
9691.0,Assassins,50000000.0,30303072.0,132.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",1995-10-06
451.0,Leaving Las Vegas,3600000.0,49800000.0,112.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995-10-27
9263.0,Now and Then,12000000.0,27400000.0,100.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",1995-10-20
902.0,The City of Lost Children,18000000.0,1738611.0,108.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",1995-05-16
63.0,Twelve Monkeys,29500000.0,168840000.0,129.0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",1995-12-29
9598.0,Babe,30000000.0,254134910.0,89.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",1995-07-18
687.0,Dead Man Walking,11000000.0,39363635.0,122.0,"[{'id': 18, 'name': 'Drama'}]",1995-12-29
9312.0,Mortal Kombat,18000000.0,122195920.0,101.0,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",1995-08-18
577.0,To Die For,20000000.0,21284514.0,106.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",1995-05-20
11861.0,How To Make An American Quilt,10000000.0,23574130.0,116.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995-10-06
807.0,Se7en,33000000.0,327311859.0,127.0,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",1995-09-22
10530.0,Pocahontas,55000000.0,346079773.0,81.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",1995-06-14
629.0,The Usual Suspects,6000000.0,23341568.0,106.0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",1995-07-19
11448.0,Mighty Aphrodite,15000000.0,6700000.0,95.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",1995-09-13
10634.0,Friday,3500000.0,28215918.0,91.0,"[{'id': 35, 'name': 'Comedy'}]",1995-04-26
755.0,From Dusk Till Dawn,19000000.0,25836616.0,108.0,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",1996-01-19
11859.0,Fair Game,50000000.0,11534477.0,91.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",1995-11-03
36929.0,Big Bully,15000000.0,2042530.0,90.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",1996-01-26
9102.0,Screamers,20000000.0,5781885.0,108.0,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",1995-09-08
400.0,Things to Do in Denver When You're Dead,8000000.0,529766.0,116.0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",1995-12-01
10534.0,White Squall,38000000.0,10300000.0,129.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",1996-02-02
2086.0,Nick of Time,8169363.0,8175346.0,90.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",1995-11-22
9095.0,Mary Reilly,47000000.0,12379402.0,104.0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",1996-02-23
12158.0,Vampire in Brooklyn,14000000.0,19800000.0,100.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 10749, 'name': 'Romance'}]",1995-10-26
9208.0,Broken Arrow,50000000.0,150270147.0,108.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",1996-02-09
13685.0,Bottle Rocket,7000000.0,560069.0,91.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",1996-02-21
9614.0,Happy Gilmore,12000000.0,41205099.0,92.0,"[{'id': 35, 'name': 'Comedy'}]",1996-02-16
688.0,The Bridges of Madison County,24000000.0,182016617.0,135.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995-05-28
197.0,Braveheart,72000000.0,210000000.0,177.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",1995-05-24
103.0,Taxi Driver,1300000.0,28262574.0,114.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",1976-02-07
33542.0,Rumble in the Bronx,7500000.0,32392047.0,91.0,"[{'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",1995-01-30
78406.0,Steal Big Steal Little,25000000.0,6278139.0,113.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",1995-09-29
11066.0,Boomerang,40000000.0,70100000.0,117.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",1992-06-30
2074.0,Flirting with Disaster,7000000.0,14702438.0,92.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",1996-03-22
